Time,RFID,BagID,Travel Distance,Beam Diff
2019-06-23 04:11:40.560501,0000000000000183,000055721, 785,-805
2019-06-23 04:11:53.392173,__I__3691289,000055723, 1927,337
2019-06-23 04:11:59.738175,__I__3704121,000055724, 953,-637
2019-06-23 04:12:06.214053,__I__3704121,000055725, 1927,337
2019-06-23 04:12:06.214180,__I__3710467,000055725, 974,-616
2019-06-23 04:12:12.537784,__I__3704121,000055726, 2877,1287
2019-06-23 04:12:12.537880,__I__3710467,000055726, 1924,334
2019-06-23 04:12:12.537916,__I__3716943,000055726, 950,-640
2019-06-23 04:12:18.913588,__I__3704121,000055727, 3836,2246
2019-06-23 04:12:18.913656,__I__3710467,000055727, 2883,1293
2019-06-23 04:12:18.913684,__I__3716943,000055727, 1909,319
2019-06-23 04:12:18.913704,__I__3723266,000055727, 959,-631
2019-06-23 10:05:55.236114,00000000000001e9,000055765, 1078.00,-512.00
2019-06-23 10:06:22.024875,000000000000018b,000055767, 951.00,-639.00
2019-06-23 11:02:41.855876,0000000000000404,000055899, 1768.00,178.00
2019-06-23 11:43:46.613217,0000000000000184,000056007, 1292.00,-298.00
2019-06-23 11:43:55.864076,__I__25294351,000056009, 1386.00,-204.00
2019-06-23 15:12:05.700926,00000000000001a1,000056358, 1338.00,-252.00
2019-06-23 15:12:15.482736,00000000000001a1,000056359, 2802.00,1212.00
2019-06-23 15:12:15.482824,__I__37793439,000056359, 1464.00,-126.00
2019-06-23 15:12:24.997161,__I__37793439,000056360, 2888.00,1298.00
2019-06-23 15:23:57.772400,__I__38498457,000056397, 1035.00,-555.00
2019-06-23 15:24:04.693375,__I__38498457,000056398, 2050.00,460.00
2019-06-23 15:24:04.693452,0000000000000289,000056398, 891.00,-699.00
2019-06-23 15:24:11.274304,__I__38498457,000056399, 3010.00,1420.00
2019-06-23 15:24:11.274382,0000000000000289,000056399, 1851.00,261.00
2019-06-23 15:24:11.274435,__I__38512432,000056399, 960.00,-630.00
2019-06-23 15:24:17.850993,__I__38498457,000056400, 3963.00,2373.00
2019-06-23 15:24:17.851076,0000000000000289,000056400, 2804.00,1214.00
2019-06-23 15:24:17.851108,__I__38512432,000056400, 1913.00,323.00
2019-06-23 15:24:17.851155,__I__38519013,000056400, 953.00,-637.00
2019-06-23 15:24:24.343579,__I__38498457,000056401, 4926.00,3336.00
2019-06-23 15:24:24.343684,0000000000000289,000056401, 3767.00,2177.00
2019-06-23 15:24:24.343749,__I__38512432,000056401, 2876.00,1286.00
2019-06-23 15:24:24.343785,__I__38519013,000056401, 1916.00,326.00
2019-06-23 15:24:24.343808,__I__38525589,000056401, 963.00,-627.00
2019-06-23 15:26:45.020377,0000000000000289,000056402, 15509.00,13919.00
2019-06-23 15:26:53.877946,0000000000000289,000056403, 16834.00,15244.00
2019-06-23 17:53:41.390260,00000000000001a9,000056790, 1741.00,151.00
2019-06-23 17:53:48.230037,00000000000001a9,000056791, 2764.00,1174.00
2019-06-23 17:53:48.230124,__I__47489128,000056791, 1023.00,-567.00
2019-06-23 17:53:48.230154,000000000000040b,000056791, 1174.00,-416.00
2019-06-23 17:53:54.717924,00000000000001a9,000056792, 3728.00,2138.00
2019-06-23 17:53:54.718010,__I__47489128,000056792, 1987.00,397.00
2019-06-23 17:53:54.718029,000000000000040b,000056792, 2138.00,548.00
2019-06-23 17:53:54.718042,__I__47495968,000056792, 964.00,-626.00
2019-06-23 17:54:01.143667,00000000000001a9,000056793, 4681.00,3091.00
2019-06-23 17:54:01.143770,__I__47489128,000056793, 2940.00,1350.00
2019-06-23 17:54:01.143804,000000000000040b,000056793, 3091.00,1501.00
2019-06-23 17:54:01.143834,__I__47495968,000056793, 1917.00,327.00
2019-06-23 17:54:01.143856,__I__47502456,000056793, 953.00,-637.00
2019-06-23 17:54:07.607650,00000000000001a9,000056794, 5645.00,4055.00
2019-06-23 17:54:07.607756,__I__47489128,000056794, 3904.00,2314.00
2019-06-23 17:54:07.607798,000000000000040b,000056794, 4055.00,2465.00
2019-06-23 17:54:07.607821,__I__47495968,000056794, 2881.00,1291.00
2019-06-23 17:54:07.607841,__I__47502456,000056794, 1917.00,327.00
2019-06-23 17:54:07.607861,__I__47508882,000056794, 964.00,-626.00
2019-06-23 17:54:07.607880,0000000000000404,000056794, 1741.00,151.00
2019-06-23 17:54:13.965370,00000000000001a9,000056795, 6597.00,5007.00
2019-06-23 17:54:13.965451,__I__47489128,000056795, 4856.00,3266.00
2019-06-23 17:54:13.965484,000000000000040b,000056795, 5007.00,3417.00
2019-06-23 17:54:13.965513,__I__47495968,000056795, 3833.00,2243.00
2019-06-23 17:54:13.965529,__I__47502456,000056795, 2869.00,1279.00
2019-06-23 17:54:13.965544,__I__47508882,000056795, 1916.00,326.00
2019-06-23 17:54:13.965559,0000000000000404,000056795, 2693.00,1103.00
2019-06-23 17:54:13.965591,__I__47515346,000056795, 952.00,-638.00
2019-06-23 17:54:38.049672,__I__47502456,000056796, 4551.00,2961.00
2019-06-23 17:54:38.049749,__I__47508882,000056796, 3598.00,2008.00
2019-06-23 17:54:38.049779,0000000000000404,000056796, 4375.00,2785.00
2019-06-23 17:54:38.049802,__I__47515346,000056796, 2634.00,1044.00
2019-06-23 19:37:07.386561,__I__53690403,000057064, 1069.00,-521.00
2019-06-23 19:37:13.709741,__I__53695125,000057065, 947.00,-643.00
